Unnamed: 0,property_type,price,location,city,baths,purpose,bedrooms,Area_in_Marla
855,Flat,5136000,Fazaia Housing Scheme,Karachi,4,For Sale,3,7.1
856,Flat,10100000,Fazaia Housing Scheme,Karachi,5,For Sale,4,12.5
857,Flat,4666000,Fazaia Housing Scheme,Karachi,2,For Sale,2,5.8
858,Flat,7960000,Fazaia Housing Scheme,Karachi,4,For Sale,3,9.8
859,Flat,10100000,Fazaia Housing Scheme,Karachi,5,For Sale,4,12.5
860,Flat,3763000,Fazaia Housing Scheme,Karachi,2,For Sale,2,5.2
861,Flat,4090000,Fazaia Housing Scheme,Karachi,2,For Sale,2,5.7
862,Flat,4797000,Fazaia Housing Scheme,Karachi,4,For Sale,3,6.7
863,Flat,5136000,Northern Bypass,Karachi,4,For Sale,3,7.1
865,House,7500000,Bahria Town Karachi,Karachi,3,For Sale,3,5.0
866,Flat,4800000,Bahria Town Karachi,Karachi,2,For Sale,2,4.2
867,Flat,2200000,Malir,Karachi,1,For Sale,1,1.8
877,House,17500000,Bahria Town Karachi,Karachi,4,For Sale,4,14.0
882,Flat,14500000,Gulistan-e-Jauhar,Karachi,6,For Sale,4,12.0
883,Flat,40000000,Cantt,Karachi,3,For Sale,3,9.8
885,House,6642000,Northern Bypass,Karachi,3,For Sale,3,5.0
886,House,9205000,Northern Bypass,Karachi,4,For Sale,3,11.0
887,House,12500000,Northern Bypass,Karachi,5,For Sale,4,11.0
888,House,16500000,Gulistan-e-Jauhar,Karachi,6,For Sale,6,6.7
889,House,4500000,Lehtarar Road,Islamabad,3,For Sale,2,5.0
890,House,23500000,G-11,Islamabad,4,For Sale,4,8.0
896,Upper Portion,85000,F-11,Islamabad,3,For Rent,3,20.0
897,Upper Portion,70000,Bani Gala,Islamabad,3,For Rent,3,60.0
898,Flat,65000,F-11,Islamabad,2,For Rent,2,12.4
904,House,95000,Bahria Town,Islamabad,7,For Rent,6,10.0
905,House,37900000,G-9,Islamabad,6,For Sale,6,14.2
906,Flat,25000000,F-10,Islamabad,1,For Sale,2,4.4
907,House,13000000,E-14,Islamabad,5,For Sale,6,10.0
909,Flat,16500000,F-8,Islamabad,1,For Sale,1,3.0
911,Flat,29500000,F-8,Islamabad,2,For Sale,2,6.7
912,Flat,7500000,Bani Gala,Islamabad,3,For Sale,2,7.1
913,Flat,10000000,Diplomatic Enclave,Islamabad,1,For Sale,1,2.0
917,House,9500000,Soan Garden,Islamabad,3,For Sale,3,10.0
918,Flat,12500000,DHA Defence,Islamabad,3,For Sale,3,8.9
922,House,200000,F-11,Islamabad,6,For Rent,6,26.0
923,Upper Portion,95000,F-10,Islamabad,3,For Rent,3,24.0
924,Flat,250000,Karakoram Diplomatic Enclave,Islamabad,2,For Rent,2,11.8
925,Flat,190000,Karakoram Diplomatic Enclave,Islamabad,2,For Rent,2,8.9
927,House,8000000,Paradise Valley,Faisalabad,3,For Sale,6,5.0
928,House,21000000,Askari 14,Rawalpindi,6,For Sale,5,10.0
929,House,5000000,Misryal Road,Rawalpindi,3,For Sale,2,5.0
930,House,15000000,Bahria Town Rawalpindi,Rawalpindi,5,For Sale,4,8.0
931,House,21000000,Bahria Town Rawalpindi,Rawalpindi,6,For Sale,5,10.0
932,Flat,5500000,Bahria Town Rawalpindi,Rawalpindi,2,For Sale,2,4.0
933,Flat,3500000,Bahria Town Rawalpindi,Rawalpindi,1,For Sale,1,3.2
934,Upper Portion,100000,Bahria Town Rawalpindi,Rawalpindi,4,For Rent,3,20.0
935,Flat,45000,Bahria Town Rawalpindi,Rawalpindi,2,For Rent,2,4.4
936,Flat,16000,Bahria Town Rawalpindi,Rawalpindi,1,For Rent,1,2.0
937,Flat,20000,Bahria Town Rawalpindi,Rawalpindi,1,For Rent,1,3.1
938,Flat,17000,Bahria Town Rawalpindi,Rawalpindi,1,For Rent,2,3.5
939,House,35000,Bahria Town Rawalpindi,Rawalpindi,1,For Rent,2,5.0
940,Flat,60000,Bahria Town Rawalpindi,Rawalpindi,2,For Rent,2,6.7
941,House,27500000,DHA Defence,Lahore,5,For Sale,4,10.0
942,House,20500000,State Life Housing Society,Lahore,5,For Sale,4,10.0
945,House,31500000,DHA Defence,Lahore,6,For Sale,5,20.0
946,House,39000000,DHA Defence,Lahore,5,For Sale,4,10.0
947,House,25000000,DHA Defence,Lahore,4,For Sale,4,10.0
948,House,29000000,DHA Defence,Lahore,5,For Sale,4,10.0
949,House,19500000,Cantt,Lahore,5,For Sale,4,10.0
950,House,43500000,DHA Defence,Lahore,6,For Sale,5,20.0
951,House,32000000,DHA Defence,Lahore,5,For Sale,4,10.0
952,House,17500000,Bahria Town,Lahore,7,For Sale,5,10.0
953,House,41700000,DHA Defence,Lahore,6,For Sale,5,20.0
954,House,18000000,Sabzazar Scheme,Lahore,4,For Sale,4,10.0
955,House,5500000,Model Colony,Lahore,2,For Sale,2,5.0
956,House,24000000,Askari,Lahore,3,For Sale,3,10.0
957,House,8200000,Iqbal Park,Lahore,3,For Sale,3,3.0
959,House,19000000,Mustafa Town,Lahore,4,For Sale,5,10.0
961,House,9000000,Walton Road,Lahore,4,For Sale,4,5.0
